POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,MERCEDES,56,01:37:36,25
2,5,Sebastian Vettel,FERRARI,56,#ERROR!,18
3,33,Max Verstappen,RED BULL RACING TAG HEUER,56,#ERROR!,15
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,56,#ERROR!,12
5,7,Kimi Räikkönen,FERRARI,56,#ERROR!,10
6,77,Valtteri Bottas,MERCEDES,56,#ERROR!,8
7,55,Carlos Sainz,TORO ROSSO,56,#ERROR!,6
8,20,Kevin Magnussen,HAAS FERRARI,55,#ERROR!,4
9,11,Sergio Perez,FORCE INDIA MERCEDES,55,#ERROR!,2
10,31,Esteban Ocon,FORCE INDIA MERCEDES,55,#ERROR!,1
11,8,Romain Grosjean,HAAS FERRARI,55,#ERROR!,0
12,27,Nico Hulkenberg,RENAULT,55,#ERROR!,0
13,30,Jolyon Palmer,RENAULT,55,#ERROR!,0
14,19,Felipe Massa,WILLIAMS MERCEDES,55,#ERROR!,0
15,9,Marcus Ericsson,SAUBER FERRARI,55,#ERROR!,0
NC,14,Fernando Alonso,MCLAREN HONDA,33,DNF,0
NC,26,Daniil Kvyat,TORO ROSSO,18,DNF,0
NC,2,Stoffel Vandoorne,MCLAREN HONDA,17,DNF,0
NC,36,Antonio Giovinazzi,SAUBER FERRARI,3,DNF,0
NC,18,Lance Stroll,WILLIAMS MERCEDES,0,DNF,0